crime_rating,distance,weight_safest_12,weight_safest_14,weight_safest_18,weight_shortest,osm_start_id,osm_end_id
8.0,0.02943,0.03937,0.03274,0.03085,0.02943,601284477,65363963
27.5,0.01809,0.05226,0.02948,0.02297,0.01809,610182408,610182409
31.0,0.05048,0.089,0.06332,0.05598,0.05048,610182408,65341003
27.5,0.00933,0.0435,0.02072,0.01421,0.00933,610182408,65340999
14.0,0.04995,0.06735,0.05575,0.05244,0.04995,611394152,611394151
40.5,0.10768,0.15801,0.12446,0.11487,0.10768,611394152,65335612
47.0,0.01093,0.06934,0.0304,0.01927,0.01093,612027255,65305863
47.5,0.02102,0.08005,0.0407,0.02945,0.02102,612027255,316735268
23.0,0.01387,0.04245,0.0234,0.01795,0.01387,612027255,65305859
1.5,0.03458,0.03644,0.0352,0.03485,0.03458,612571639,311781835
23.5,0.04984,0.07904,0.05957,0.05401,0.04984,612571639,259407152
2.5,0.02094,0.02405,0.02198,0.02138,0.02094,612571639,65311717
10.0,0.0025,0.01493,0.00664,0.00428,0.0025,612715733,612717119
40.0,0.00894,0.05865,0.02551,0.01604,0.00894,612715733,612715052
8.5,0.08639,0.09695,0.08991,0.0879,0.08639,612715733,553539947
23.5,0.00921,0.03841,0.01894,0.01338,0.00921,612716404,65291647
9.0,0.00493,0.01611,0.00866,0.00653,0.00493,612716404,612718456
112.0,0.05214,0.19132,0.09853,0.07202,0.05214,612716404,1201411453
57.5,0.02049,0.09194,0.04431,0.0307,0.02049,612726655,65311245
20.5,0.02074,0.04621,0.02923,0.02438,0.02074,612726655,65311243
101.5,0.1756,0.30173,0.21764,0.19362,0.1756,612726655,260168596
12.5,0.00635,0.02188,0.01153,0.00857,0.00635,612730167,612730169
47.5,0.06399,0.12302,0.08367,0.07242,0.06399,612730167,612730164
178.0,0.10746,0.32865,0.18119,0.13906,0.10746,612730167,440319291
12.5,0.00515,0.02068,0.01033,0.00737,0.00515,612730167,65307768
109.5,0.00662,0.14269,0.05198,0.02606,0.00662,612765968,612765917
109.5,0.00602,0.14209,0.05138,0.02546,0.00602,612765968,277632379
383.5,0.05848,0.53504,0.21733,0.12656,0.05848,612765968,277632378
5.0,0.00316,0.00937,0.00523,0.00405,0.00316,612774015,65293907
18.0,0.02197,0.04434,0.02943,0.02517,0.02197,612774015,262258029
25.0,0.04232,0.07339,0.05268,0.04676,0.04232,612774015,258776306
14.0,0.01188,0.02928,0.01768,0.01437,0.01188,613311838,65292783
18.0,0.04863,0.071,0.05609,0.05183,0.04863,613311838,613311868
16.0,0.01854,0.03842,0.02517,0.02138,0.01854,613311838,367047597
0.0,0.01525,0.01525,0.01525,0.01525,0.01525,613315054,65326852
0.0,0.01302,0.01302,0.01302,0.01302,0.01302,613315054,65309488
0.0,0.06321,0.06321,0.06321,0.06321,0.06321,613315054,300726882
12.0,0.0101,0.02501,0.01507,0.01223,0.0101,615144100,615144102
9.0,0.01924,0.03042,0.02297,0.02084,0.01924,615144100,436969507
5.5,0.00608,0.01291,0.00836,0.00706,0.00608,615144100,65309863
4.5,0.08569,0.09128,0.08755,0.08649,0.08569,615144365,615144355
3.0,0.08626,0.08999,0.0875,0.08679,0.08626,615144365,65285507
6.0,0.01759,0.02505,0.02008,0.01866,0.01759,615144433,65295223
22.5,0.13096,0.15892,0.14028,0.13495,0.13096,615144433,315372339
16.5,0.12707,0.14757,0.1339,0.13,0.12707,615144433,315372324
4.0,0.00648,0.01145,0.00814,0.00719,0.00648,615144526,615144350
4.0,0.00671,0.01168,0.00837,0.00742,0.00671,615144526,615144524
2.5,0.11928,0.12239,0.12032,0.11972,0.11928,615144526,615144428
3.0,0.25882,0.26255,0.26006,0.25935,0.25882,615144526,65285506
48.0,0.00847,0.06812,0.02835,0.01699,0.00847,615405793,615405824
16.5,0.01083,0.03133,0.01766,0.01376,0.01083,615405793,65282954
18.0,0.02363,0.046,0.03109,0.02683,0.02363,615405793,351962609
3.0,0.02429,0.02802,0.02553,0.02482,0.02429,616616314,65360368
1.5,0.02477,0.02663,0.02539,0.02504,0.02477,616616314,65324074
23.5,0.08512,0.11432,0.09485,0.08929,0.08512,616616314,469714871
1.5,0.08676,0.08862,0.08738,0.08703,0.08676,616616314,2315778298
0.0,0.02323,0.02323,0.02323,0.02323,0.02323,616616354,65315071
0.0,0.02199,0.02199,0.02199,0.02199,0.02199,616616354,65291602
23.0,0.08168,0.11026,0.09121,0.08576,0.08168,617043508,65285599
27.0,0.01159,0.04514,0.02277,0.01638,0.01159,617043508,65285594
28.0,0.01143,0.04622,0.02303,0.0164,0.01143,617043526,610760166
258.0,0.16337,0.48398,0.27024,0.20917,0.16337,617043526,65371661
72.0,0.02661,0.11608,0.05643,0.03939,0.02661,621547506,621547507
86.0,0.01606,0.12293,0.05168,0.03133,0.01606,621547506,621547504
85.0,0.01074,0.11637,0.04595,0.02583,0.01074,621547506,621547505
60.0,0.01607,0.09063,0.04092,0.02672,0.01607,621547507,65341513
116.0,0.01069,0.15484,0.05874,0.03128,0.01069,621547507,262078987
72.0,0.02661,0.11608,0.05643,0.03939,0.02661,621547507,621547506
34.0,0.02195,0.0642,0.03603,0.02799,0.02195,632886093,1707875161
7.0,0.05188,0.06058,0.05478,0.05312,0.05188,633022058,65327086
17.0,0.11258,0.13371,0.11962,0.1156,0.11258,633022058,65340410
1.5,0.01349,0.01535,0.01411,0.01376,0.01349,633022058,633022059
5.0,0.0703,0.07651,0.07237,0.07119,0.0703,65337883,65337886
4.5,0.0535,0.05909,0.05536,0.0543,0.0535,65337883,2467158016
5.0,0.04772,0.05393,0.04979,0.04861,0.04772,65337883,65349256
1.0,0.01624,0.01748,0.01665,0.01642,0.01624,1707682767,1707682805
6.0,0.12222,0.12968,0.12471,0.12329,0.12222,1707682767,440853807
4.0,0.10748,0.11245,0.10914,0.10819,0.10748,1707682767,2179348936
39.5,0.18495,0.23404,0.20131,0.19196,0.18495,65342539,65323535
56.0,0.04489,0.11448,0.06809,0.05483,0.04489,65342539,65342548
9.5,0.12906,0.14087,0.133,0.13075,0.12906,65342672,65316669
13.5,0.12738,0.14416,0.13297,0.12978,0.12738,65342672,258912646
13.5,0.05804,0.07482,0.06363,0.06044,0.05804,65342672,65329924
16.5,0.05857,0.07907,0.0654,0.0615,0.05857,65342672,65351687
5.0,0.12869,0.1349,0.13076,0.12958,0.12869,65342677,65293999
5.5,0.12925,0.13608,0.13153,0.13023,0.12925,65342677,65316669
5.5,0.05853,0.06536,0.06081,0.05951,0.05853,65342677,65329926
7.5,0.05845,0.06777,0.06156,0.05978,0.05845,65342677,65351689
1.0,0.12917,0.13041,0.12958,0.12935,0.12917,65342679,65310636
1.5,0.12896,0.13082,0.12958,0.12923,0.12896,65342679,65326234
7.5,0.05878,0.0681,0.06189,0.06011,0.05878,65342679,65329928
3.5,0.05854,0.06289,0.05999,0.05916,0.05854,65342679,65351692
7.5,0.12947,0.13879,0.13258,0.1308,0.12947,65342682,65342686
6.5,0.12875,0.13683,0.13144,0.1299,0.12875,65342682,65295130
15.5,0.05886,0.07812,0.06528,0.06161,0.05886,65342682,65329908
12.0,0.05836,0.07327,0.06333,0.06049,0.05836,65342682,65351693
5.0,0.12915,0.13536,0.13122,0.13004,0.12915,65342742,65342744
4.5,0.12895,0.13454,0.13081,0.12975,0.12895,65342742,65295181
5.5,0.05857,0.0654,0.06085,0.05955,0.05857,65342742,65350552
4.5,0.05843,0.06402,0.06029,0.05923,0.05843,65342742,65330008
15.0,0.0143,0.03294,0.02051,0.01696,0.0143,258660024,310982827
50.0,0.00826,0.07039,0.02897,0.01714,0.00826,258660024,65293228
14.5,0.00966,0.02768,0.01567,0.01223,0.00966,258660024,978091897
0.0,0.00477,0.00477,0.00477,0.00477,0.00477,258697335,2179292733
0.0,0.00835,0.00835,0.00835,0.00835,0.00835,258697335,2179292758
0.0,0.04636,0.04636,0.04636,0.04636,0.04636,258697335,258697291
1.0,0.04452,0.04576,0.04493,0.0447,0.04452,258755839,258755838
0.0,0.04849,0.04849,0.04849,0.04849,0.04849,258755839,258755840
0.0,0.00631,0.00631,0.00631,0.00631,0.00631,258755839,65315055
0.5,0.1087,0.10932,0.10891,0.10879,0.1087,258755839,65314788
0.0,0.00663,0.00663,0.00663,0.00663,0.00663,258755887,65328836
35.0,0.15567,0.19916,0.17017,0.16188,0.15567,258755887,65287360
3.0,0.04407,0.0478,0.04531,0.0446,0.04407,258755887,274467896
94.5,0.08653,0.20396,0.12567,0.10331,0.08653,258758038,65327138
36.5,0.00879,0.05415,0.02391,0.01527,0.00879,258758038,65356392
122.5,0.12854,0.28077,0.17928,0.15029,0.12854,258758038,65352339
101.0,0.03304,0.15855,0.07488,0.05097,0.03304,258758038,65324329
25.5,0.00809,0.03978,0.01865,0.01262,0.00809,258758537,65345281
47.5,0.06483,0.12386,0.08451,0.07326,0.06483,258758537,258758536
33.5,0.06557,0.1072,0.07945,0.07152,0.06557,258758537,258758538
26.5,0.08702,0.11995,0.098,0.09172,0.08702,258758537,65327183
156.5,0.08616,0.28064,0.15099,0.11394,0.08616,258758554,65308283
84.0,0.00926,0.11364,0.04405,0.02417,0.00926,258758554,65308287
178.5,0.03316,0.25498,0.1071,0.06485,0.03316,258758554,65374496
157.0,0.03227,0.22737,0.0973,0.06014,0.03227,258758554,65351239
102.5,0.02642,0.15379,0.06888,0.04462,0.02642,258759758,984087348
121.5,0.0394,0.19038,0.08973,0.06097,0.0394,258759758,984087339
107.5,0.01313,0.14672,0.05766,0.03221,0.01313,258759758,984087356
98.5,0.00736,0.12976,0.04816,0.02485,0.00736,258759758,65317967
93.5,0.00621,0.1224,0.04494,0.02281,0.00621,258760425,2163049313
109.0,0.00809,0.14354,0.05324,0.02744,0.00809,258760425,258760440
92.0,0.00617,0.1205,0.04428,0.0225,0.00617,258760425,258760428
165.0,0.0538,0.25884,0.12215,0.08309,0.0538,258760425,65338334
45.5,0.06012,0.11666,0.07897,0.0682,0.06012,258886228,1636827304
39.5,0.05117,0.10026,0.06753,0.05818,0.05117,258886228,258886234
38.0,0.00651,0.05373,0.02225,0.01326,0.00651,258886228,65317798
35.0,0.04057,0.08406,0.05507,0.04678,0.04057,258886228,265666677
1.0,0.05892,0.06016,0.05933,0.0591,0.05892,258912594,258912678
2.0,0.05993,0.06242,0.06076,0.06029,0.05993,258912594,258912615
2.0,0.12807,0.13056,0.1289,0.12843,0.12807,258912594,65333144
1.0,0.00466,0.0059,0.00507,0.00484,0.00466,258912594,65304422
23.5,0.04984,0.07904,0.05957,0.05401,0.04984,259407152,612571639
124.0,0.15726,0.31135,0.20862,0.17927,0.15726,259407152,259407047
19.5,0.04741,0.07164,0.05549,0.05087,0.04741,259407843,259407842
10.5,0.04643,0.05948,0.05078,0.04829,0.04643,259407843,259407844
14.0,0.00441,0.02181,0.01021,0.0069,0.00441,259407843,2020113655
14.0,0.00634,0.02374,0.01214,0.00883,0.00634,259407843,65280445
26.0,0.02592,0.05823,0.03669,0.03054,0.02592,259669789,2179292690
27.0,0.00645,0.04,0.01763,0.01124,0.00645,259669789,259669800
25.5,0.01435,0.04604,0.02491,0.01888,0.01435,259669789,259669727
167.0,0.10017,0.3077,0.16935,0.12982,0.10017,259843959,65325131
78.0,0.08,0.17693,0.11231,0.09385,0.08,259843959,1040070128
108.0,0.08323,0.21744,0.12797,0.1024,0.08323,259843959,65287063
161.0,0.12044,0.32051,0.18713,0.14902,0.12044,259843959,259844134
16.0,0.00673,0.02661,0.01336,0.00957,0.00673,259843959,259844811
101.5,0.1756,0.30173,0.21764,0.19362,0.1756,260168596,612726655
57.0,0.11979,0.19062,0.1434,0.12991,0.11979,260168596,301203913
10.0,0.00673,0.01916,0.01087,0.00851,0.00673,260168596,65297439
