osm_node_id,lat,lon,intersection,crime_rating
434668679,37.808981,-122.4735269,true,0.0
435831525,37.7501785,-122.3953384,true,14.0
436983705,37.7323069,-122.4350286,true,15.0
440322586,37.7101027,-122.4566629,true,12.0
440853802,37.7661909,-122.4930878,true,0.0
442442424,37.7651548,-122.4376088,true,6.0
442855272,37.7661269,-122.449315,true,29.0
446754616,37.7649052,-122.4401027,true,10.0
448100060,37.7813334,-122.4255063,true,31.0
448104973,37.7726167,-122.4214855,true,78.0
466309412,37.7293373,-122.3978953,true,18.0
469713544,37.7344114,-122.480699,true,6.0
469713847,37.7311589,-122.481131,true,5.0
505925490,37.7470723,-122.4694579,true,1.0
521076901,37.6970155,-122.4344124,true,0.0
525164195,37.7590546,-122.4530323,true,2.0
528142976,37.7615901,-122.4589842,true,3.0
528190282,37.7558903,-122.4584135,true,2.0
528522054,37.7987865,-122.4747191,true,0.0
529091997,37.7709107,-122.4792439,true,7.0
529092006,37.7705865,-122.4800075,true,7.0
529093451,37.7587573,-122.4579855,true,0.0
529097202,37.771831,-122.4622971,true,0.0
529120204,37.7559388,-122.4506961,true,2.0
539989856,37.7781618,-122.4060691,true,85.0
553539964,37.7186345,-122.4776641,true,9.0
581251756,37.7581585,-122.4436096,true,16.0
589498601,37.7719007,-122.3913104,true,6.0
599157324,37.7547547,-122.4473783,true,0.0
599157334,37.7632517,-122.4455969,true,16.0
601284477,37.7840752,-122.4525649,true,8.0
610182408,37.7256558,-122.4609725,true,27.0
611394152,37.7194394,-122.3998235,true,10.0
612027255,37.8012299,-122.4044811,true,22.0
612571639,37.7362261,-122.4078869,true,1.0
612715733,37.7164339,-122.4791358,true,10.0
612716404,37.7170058,-122.4800622,true,5.0
612726655,37.7118881,-122.4640641,true,11.0
612730167,37.7104927,-122.4549993,true,12.0
612765968,37.7980652,-122.3974012,true,57.0
612774015,37.8003036,-122.4476063,true,5.0
613311838,37.8012622,-122.4327429,true,15.0
613315054,37.7963917,-122.4516011,true,0.0
615144100,37.7346702,-122.4709819,true,3.0
615144365,37.7478466,-122.508448,true,4.0
615144433,37.743574,-122.5074892,true,1.0
615144526,37.7453742,-122.5080034,true,4.0
615405793,37.7326071,-122.4342922,true,16.0
616616314,37.7318042,-122.4674077,true,3.0
616616354,37.7330874,-122.4682855,true,0.0
617043508,37.7277508,-122.4028406,true,28.0
617043526,37.727876,-122.4030324,true,28.0
621547506,37.7994998,-122.4371743,true,86.0
621547507,37.7994386,-122.4376555,true,58.0
632886093,37.7404394,-122.46568,true,17.0
633022058,37.7391781,-122.457983,true,1.0
65337883,37.744968,-122.466228,true,5.0
1707682767,37.7653956,-122.4909695,true,1.0
65342539,37.7424196,-122.447797,true,8.0
65342672,37.7634269,-122.480338,true,15.0
65342677,37.7596941,-122.4800825,true,7.0
65342679,37.7485046,-122.4792939,true,1.0
65342682,37.7429113,-122.4789026,true,12.0
65342742,37.7420147,-122.4992618,true,6.0
258660024,37.8050744,-122.432035,true,15.0
258697335,37.7678079,-122.4685051,true,0.0
258755839,37.7332223,-122.4695898,true,0.0
258755887,37.7719325,-122.481781,true,0.0
258758038,37.7782438,-122.4197937,true,43.0
258758537,37.7976342,-122.4237234,true,28.0
258758554,37.781036,-122.4203575,true,83.0
258759758,37.783501,-122.4310615,true,99.0
258760425,37.7847403,-122.431169,true,93.0
258886228,37.7483548,-122.4115088,true,38.0
258912594,37.7647547,-122.4922498,true,1.0
259407152,37.7369187,-122.4080425,true,8.0
259407843,37.733841,-122.4358659,true,14.0
259669789,37.7670799,-122.466925,true,27.0
259843959,37.735687,-122.387141,true,16.0
260168596,37.7123651,-122.4670839,true,10.0
260193610,37.7915345,-122.390907,true,57.0
260300255,37.7096674,-122.4117792,true,12.0
260300561,37.699677,-122.4171782,true,0.0
262078982,37.8006374,-122.4294641,true,14.0
266903664,37.758306,-122.4037884,true,5.0
266903724,37.7588923,-122.4037975,true,4.0
2179216839,37.7685728,-122.4655058,true,2.0
2179216892,37.7692237,-122.4670102,true,2.0
2179292733,37.7677434,-122.4684739,true,0.0
2179309290,37.7660398,-122.4767319,true,8.0
2179309411,37.7686265,-122.4707794,true,0.0
2179309505,37.7705839,-122.47685,true,1.0
2179343997,37.7696165,-122.4696995,true,0.0
2179344094,37.7708248,-122.472014,true,0.0
2179344186,37.7723008,-122.4749745,true,5.0
2179348985,37.7666523,-122.4823751,true,7.0
65294163,37.7690276,-122.4269057,true,130.0
65294358,37.7446311,-122.4245515,true,9.0
65296086,37.758983,-122.4961603,true,4.0
65296088,37.7552636,-122.4958891,true,0.0
65296334,37.7544928,-122.4344149,true,4.0
65298353,37.7672224,-122.4463859,true,14.0
65298522,37.723647,-122.460231,true,19.0
65298844,37.715297,-122.448076,true,8.0
65298982,37.7098512,-122.4086504,true,11.0
65299622,37.777725,-122.49424,true,3.0
65300028,37.7706857,-122.3893597,true,1.0
65300052,37.780094,-122.3943162,true,36.0
65300282,37.7239227,-122.3948889,true,18.0
65300759,37.7391198,-122.389113,true,49.0
65301479,37.8017521,-122.4065499,true,16.0
65301488,37.7358822,-122.439746,true,5.0
65301581,37.7932167,-122.4431906,true,7.0
65301604,37.8044248,-122.4454587,true,1.0
65302176,37.7572969,-122.4145602,true,35.0
65302396,37.738279,-122.412746,true,8.0
65302646,37.7267907,-122.4711517,true,11.0
65302901,37.7990613,-122.4200844,true,23.0
65303234,37.8038867,-122.4200106,true,17.0
65303314,37.7653549,-122.4434553,true,28.0
65303464,37.7610996,-122.4424885,true,14.0
65303467,37.760979,-122.4432178,true,11.0
65304092,37.7471835,-122.4359164,true,4.0
65304225,37.7323059,-122.4534355,true,1.0
65304416,37.7648675,-122.4911775,true,1.0
65304538,37.7639481,-122.51029,true,20.0
65304983,37.73094,-122.490518,true,4.0
65305006,37.7574357,-122.4390459,true,10.0
65305194,37.7525869,-122.4448355,true,13.0
65305224,37.750504,-122.445779,true,16.0
65305396,37.766426,-122.3969092,true,14.0
65305572,37.742323,-122.405192,true,39.0
65305773,37.7085022,-122.4142182,true,7.0
65305859,37.8010316,-122.4044419,true,24.0
65305894,37.799479,-122.4595857,true,0.0
65306098,37.7150562,-122.382523,true,0.0
65306178,37.729532,-122.414225,true,13.0
65306229,37.736433,-122.398556,true,6.0
65306433,37.757597,-122.4423753,true,14.0
65306617,37.7876341,-122.4884185,true,2.0
65306782,37.7925337,-122.390976,true,51.0
65308159,37.8012146,-122.4614389,true,0.0
65308270,37.781759,-122.414683,true,462.0
65308306,37.779145,-122.435241,true,44.0
65308435,37.7926401,-122.4789103,true,0.0
65308500,37.779187,-122.462002,true,13.0
65308516,37.778752,-122.471639,true,8.0
65308587,37.777336,-122.502807,true,8.0
65308590,37.777239,-122.504952,true,7.0
65308593,37.77719,-122.506022,true,6.0
65308595,37.777141,-122.507094,true,6.0
65308598,37.777093,-122.508161,true,4.0
65308600,37.777045,-122.5092472,true,2.0
65308612,37.779765,-122.437895,true,83.0
65308621,37.788807,-122.404344,true,193.0
65308635,37.7142858,-122.4653038,true,15.0
65308639,37.716126,-122.4653255,true,10.0
65308642,37.7179189,-122.4653467,true,10.0
65308644,37.7216754,-122.465391,true,5.0
